"customers","run","profit"
"3","0","474230"
"3","1","490527"
"3","2","386883"
"3","3","444988"
"3","4","374347"
"3","5","479784"
"3","6","406749"
"3","7","389212"
"3","8","607443"
"3","9","295730"
"3","10","383235"
"3","11","360921"
"3","12","277622"
"3","13","378899"
"3","14","390315"
"3","15","351496"
"3","16","525570"
"3","17","408413"
"3","18","439559"
"3","19","371145"
"3","20","283473"
"3","21","411391"
"3","22","426507"
"3","23","411536"
"3","24","435097"
"3","25","378127"
"3","26","338823"
"3","27","439778"
"3","28","454895"
"3","29","381251"
