"customers","run","profit"
"3","0","650235"
"3","1","633308"
"3","2","670348"
"3","3","603401"
"3","4","666844"
"3","5","689566"
"3","6","635974"
"3","7","683250"
"3","8","555760"
"3","9","612781"
"3","10","528768"
"3","11","670275"
"3","12","711791"
"3","13","742790"
"3","14","682269"
"3","15","689283"
"3","16","532485"
"3","17","526666"
"3","18","554139"
"3","19","713210"
"3","20","710909"
"3","21","618929"
"3","22","596934"
"3","23","555588"
"3","24","570584"
"3","25","490377"
"3","26","647062"
"3","27","663227"
"3","28","568536"
"3","29","692842"
