"customers","run","profit"
"2","0","426757"
"2","1","244274"
"2","2","202080"
"2","3","214147"
"2","4","343648"
"2","5","217744"
"2","6","202002"
"2","7","226801"
"2","8","83023"
"2","9","160053"
"2","10","179602"
"2","11","124134"
"2","12","211143"
"2","13","296109"
"2","14","287889"
"2","15","188646"
"2","16","262031"
"2","17","286941"
"2","18","175498"
"2","19","132361"
"2","20","207889"
"2","21","339707"
"2","22","301092"
"2","23","342548"
"2","24","263620"
"2","25","438674"
"2","26","217745"
"2","27","185359"
"2","28","310931"
"2","29","225921"
"6","0","784011"
"6","1","777966"
"6","2","963954"
"6","3","1047537"
"6","4","838443"
"6","5","785018"
"6","6","957300"
"6","7","888734"
"6","8","929667"
"6","9","935809"
"6","10","992330"
"6","11","834051"
"6","12","917199"
"6","13","812854"
"6","14","966680"
"6","15","838669"
"6","16","911438"
"6","17","825670"
"6","18","947948"
"6","19","856293"
"6","20","796473"
"6","21","960822"
"6","22","934978"
"6","23","934300"
"6","24","766133"
"6","25","866694"
"6","26","910978"
"6","27","929615"
"6","28","687045"
"6","29","758504"
"10","0","1705423"
"10","1","1647185"
"10","2","1287114"
"10","3","1588577"
"10","4","1563311"
"10","5","1453165"
"10","6","1475513"
"10","7","1526852"
"10","8","1535516"
"10","9","1583431"
"10","10","1417117"
"10","11","1310570"
"10","12","1545409"
"10","13","1481747"
"10","14","1464042"
"10","15","1740744"
"10","16","1549857"
"10","17","1645998"
"10","18","1488529"
"10","19","1479981"
"10","20","1652058"
"10","21","1332026"
"10","22","1531808"
"10","23","1749817"
"10","24","1570183"
"10","25","1682555"
"10","26","1474109"
"10","27","1678312"
"10","28","1283018"
"10","29","1374640"
"14","0","1857821"
"14","1","2005723"
"14","2","2195211"
"14","3","1962194"
"14","4","2234048"
"14","5","1990298"
"14","6","1843175"
"14","7","2388993"
"14","8","2145853"
"14","9","2285906"
"14","10","2131172"
"14","11","1858281"
"14","12","2154248"
"14","13","2000435"
"14","14","2002699"
"14","15","2060010"
"14","16","2308195"
"14","17","1831491"
"14","18","2294507"
"14","19","2346366"
"14","20","2019388"
"14","21","1978715"
"14","22","2171724"
"14","23","1987427"
"14","24","1951880"
"14","25","1868591"
"14","26","2297694"
"14","27","2072029"
"14","28","2005710"
"14","29","2003584"
"18","0","2800975"
"18","1","2671372"
"18","2","2768702"
"18","3","2748033"
"18","4","3008582"
"18","5","2886967"
"18","6","2651647"
"18","7","2597842"
"18","8","2951825"
"18","9","2446527"
"18","10","2619987"
"18","11","2848851"
"18","12","2685638"
"18","13","2633466"
"18","14","2896791"
"18","15","2708227"
"18","16","2629992"
"18","17","2587158"
"18","18","2896113"
"18","19","2602274"
"18","20","2633045"
"18","21","2557523"
"18","22","2295659"
"18","23","2936200"
"18","24","2633658"
"18","25","2178230"
"18","26","2618328"
"18","27","2937717"
"18","28","2868093"
"18","29","2958881"
"22","0","3499934"
"22","1","3085507"
"22","2","3384467"
"22","3","3098098"
"22","4","3390341"
"22","5","3255835"
"22","6","3477188"
"22","7","3040233"
"22","8","3539115"
"22","9","3335881"
"22","10","2815710"
"22","11","3048665"
"22","12","3308889"
"22","13","2957258"
"22","14","3320986"
"22","15","3076967"
"22","16","3338583"
"22","17","2939437"
"22","18","3619917"
"22","19","3307532"
"22","20","2831684"
"22","21","3156635"
"22","22","3586542"
"22","23","3133015"
"22","24","3265062"
"22","25","3424809"
"22","26","3187452"
"22","27","3296193"
"22","28","3358252"
"22","29","3044196"
"26","0","3346878"
"26","1","3891833"
"26","2","4430008"
"26","3","3383348"
"26","4","3703285"
"26","5","3747624"
"26","6","3828771"
"26","7","3659701"
"26","8","3582638"
"26","9","3832142"
"26","10","4074832"
"26","11","3801173"
"26","12","3209846"
"26","13","3959716"
"26","14","3691683"
"26","15","3568765"
"26","16","4115421"
"26","17","3427062"
"26","18","3305083"
"26","19","3069292"
"26","20","3314150"
"26","21","3514264"
"26","22","3453880"
"26","23","4013293"
"26","24","2850099"
"26","25","3840741"
"26","26","3319151"
"26","27","3759673"
"26","28","3746240"
"26","29","3878278"
"30","0","4130084"
"30","1","4075711"
"30","2","4241518"
"30","3","3858719"
"30","4","4353483"
"30","5","4357673"
"30","6","4322453"
"30","7","4515244"
"30","8","3991045"
"30","9","4275711"
"30","10","4022714"
"30","11","3860142"
"30","12","3746231"
"30","13","3949056"
"30","14","4429329"
"30","15","3881949"
"30","16","4215737"
"30","17","3974283"
"30","18","4490551"
"30","19","4034970"
"30","20","4259944"
"30","21","4464334"
"30","22","4280513"
"30","23","3999691"
"30","24","3987192"
"30","25","4326545"
"30","26","4077932"
"30","27","4069644"
"30","28","4111350"
"30","29","3915223"
"34","0","4379144"
"34","1","4173179"
"34","2","3612134"
"34","3","4371412"
"34","4","4359915"
"34","5","4994415"
"34","6","5059193"
"34","7","4975262"
"34","8","4258450"
"34","9","4641809"
"34","10","4181264"
"34","11","4469445"
"34","12","4532978"
"34","13","4697369"
"34","14","4790256"
"34","15","4335789"
"34","16","5041978"
"34","17","4468978"
"34","18","4779092"
"34","19","5472452"
"34","20","4412008"
"34","21","4758443"
"34","22","4496119"
"34","23","4828177"
"34","24","4763986"
"34","25","4842582"
"34","26","4547164"
"34","27","3899244"
"34","28","4726581"
"34","29","4789565"
"38","0","5074370"
"38","1","5059495"
"38","2","5078683"
"38","3","4894555"
"38","4","5267240"
"38","5","5156595"
"38","6","5476618"
"38","7","4624676"
"38","8","5060620"
"38","9","5265716"
"38","10","4950250"
"38","11","4728381"
"38","12","5169047"
"38","13","5000090"
"38","14","4589829"
"38","15","4686401"
"38","16","5083261"
"38","17","4695167"
"38","18","4202385"
"38","19","4958012"
"38","20","4879092"
"38","21","5245105"
"38","22","4875344"
"38","23","4928715"
"38","24","5490901"
"38","25","4951213"
"38","26","5520663"
"38","27","4600652"
"38","28","4876359"
"38","29","4907645"
"42","0","5653462"
"42","1","5202426"
"42","2","5186105"
"42","3","5378539"
"42","4","5739944"
"42","5","5278916"
"42","6","5119609"
"42","7","4808771"
"42","8","4675920"
"42","9","5173406"
"42","10","5748324"
"42","11","5115508"
"42","12","5562889"
"42","13","5095725"
"42","14","5722898"
"42","15","5093618"
"42","16","6058795"
"42","17","4982370"
"42","18","5593786"
"42","19","4834035"
"42","20","5401320"
"42","21","5329125"
"42","22","5295980"
"42","23","4991930"
"42","24","4929301"
"42","25","5308705"
"42","26","4730857"
"42","27","4562333"
"42","28","5371972"
"42","29","5061972"
"46","0","5079771"
"46","1","5877232"
"46","2","6039075"
"46","3","5237439"
"46","4","5826038"
"46","5","5396196"
"46","6","5805122"
"46","7","5035330"
"46","8","5359066"
"46","9","5593665"
"46","10","5436930"
"46","11","5505647"
"46","12","5655521"
"46","13","6165325"
"46","14","6061218"
"46","15","5779626"
"46","16","5583827"
"46","17","6231679"
"46","18","5543950"
"46","19","4860579"
"46","20","5431634"
"46","21","6070714"
"46","22","6395455"
"46","23","5842901"
"46","24","5043366"
"46","25","5275076"
"46","26","6277744"
"46","27","5319775"
"46","28","5156593"
"46","29","5070819"
"50","0","5817571"
"50","1","5157520"
"50","2","4672390"
"50","3","6268706"
"50","4","5855633"
"50","5","5960988"
"50","6","5595671"
"50","7","5887237"
"50","8","5913577"
"50","9","5562868"
"50","10","5338451"
"50","11","5908566"
"50","12","5078562"
"50","13","5411381"
"50","14","6022866"
"50","15","6434157"
"50","16","5081054"
"50","17","5974931"
"50","18","6081932"
"50","19","5514754"
"50","20","5513082"
"50","21","5205235"
"50","22","5743790"
"50","23","6187647"
"50","24","6781049"
"50","25","5539833"
"50","26","5927873"
"50","27","5110520"
"50","28","5794914"
"50","29","5458766"
"54","0","6000547"
"54","1","6728072"
"54","2","5470486"
"54","3","5425670"
"54","4","5930943"
"54","5","6834719"
"54","6","6663778"
"54","7","6312268"
"54","8","6070029"
"54","9","5758709"
"54","10","5521794"
"54","11","6338029"
"54","12","6383999"
"54","13","6782027"
"54","14","6177868"
"54","15","6485553"
"54","16","5718438"
"54","17","5586457"
"54","18","5911704"
"54","19","6325479"
"54","20","5877567"
"54","21","5491615"
"54","22","5973731"
"54","23","6487588"
"54","24","6294288"
"54","25","6209738"
"54","26","6384993"
"54","27","5946737"
"54","28","5990993"
"54","29","5692964"
"58","0","6401032"
"58","1","6316316"
"58","2","6430125"
"58","3","6677777"
"58","4","5885190"
"58","5","6087322"
"58","6","5913340"
"58","7","6519028"
"58","8","6447043"
"58","9","6629980"
