"customers","run","profit"
"2","0","432978"
"2","1","383220"
"2","2","431256"
"2","3","415481"
"2","4","371468"
"2","5","470106"
"2","6","372079"
"2","7","514035"
"2","8","454116"
"2","9","351833"
"2","10","396670"
"2","11","429824"
"2","12","411142"
"2","13","431482"
"2","14","450339"
"2","15","459608"
"2","16","410857"
"2","17","398092"
"2","18","424181"
"2","19","416889"
"2","20","419567"
"2","21","352504"
"2","22","329857"
"2","23","437953"
"2","24","429139"
"2","25","426801"
"2","26","398151"
"2","27","439231"
"2","28","427134"
"2","29","377449"
"6","0","1072456"
"6","1","1040684"
"6","2","1200592"
"6","3","1143486"
"6","4","1324396"
"6","5","1227066"
"6","6","1193889"
"6","7","1219937"
"6","8","1121555"
"6","9","1302505"
"6","10","1267997"
"6","11","1070927"
"6","12","1087606"
"6","13","1251507"
"6","14","1096465"
"6","15","1076576"
"6","16","1080059"
"6","17","1222009"
"6","18","1153847"
"6","19","1184489"
"6","20","1222554"
"6","21","1110519"
"6","22","1120942"
"6","23","1213651"
"6","24","1160023"
"6","25","1138743"
"6","26","1328935"
"6","27","1206507"
"6","28","1126930"
"6","29","1071770"
"10","0","1694804"
"10","1","1681611"
"10","2","1936606"
"10","3","1787226"
"10","4","1878161"
"10","5","1960193"
"10","6","1887067"
"10","7","1832627"
"10","8","1970742"
"10","9","1797551"
"10","10","1969924"
"10","11","1888453"
"10","12","1860372"
"10","13","1623819"
"10","14","2038760"
"10","15","2119108"
"10","16","1830347"
"10","17","1881401"
"10","18","1962990"
"10","19","1998075"
"10","20","1880634"
"10","21","1609001"
"10","22","1832604"
"10","23","2005918"
"10","24","1979110"
"10","25","1946820"
"10","26","2034670"
"10","27","1828033"
"10","28","2057067"
"10","29","1808644"
"14","0","2364623"
"14","1","2612391"
"14","2","2429090"
"14","3","2465559"
"14","4","2384520"
"14","5","2275235"
"14","6","2308849"
"14","7","2461516"
"14","8","2377013"
"14","9","2257483"
"14","10","2303288"
"14","11","2473490"
"14","12","2530058"
"14","13","2380959"
"14","14","2670487"
"14","15","2530186"
"14","16","2702497"
"14","17","2481944"
"14","18","2224939"
"14","19","2610335"
"14","20","2592936"
"14","21","2413077"
"14","22","2555160"
"14","23","2688892"
"14","24","2375267"
"14","25","2548575"
"14","26","2246428"
"14","27","2532717"
"14","28","2624151"
"14","29","2470825"
"18","0","2932158"
"18","1","3130403"
"18","2","3145055"
"18","3","3125372"
"18","4","3234638"
"18","5","3089457"
"18","6","2833686"
"18","7","3222351"
"18","8","2778120"
"18","9","2837038"
"18","10","2835071"
"18","11","2974406"
"18","12","3205715"
"18","13","3059107"
"18","14","2967943"
"18","15","3268906"
"18","16","3218606"
"18","17","2857066"
"18","18","3117267"
"18","19","3065927"
"18","20","3117536"
"18","21","2815453"
"18","22","3098610"
"18","23","2763931"
"18","24","2725687"
"18","25","2964230"
"18","26","2975816"
"18","27","2841378"
"18","28","3312238"
"18","29","3147894"
"22","0","3647900"
"22","1","3691609"
"22","2","3700362"
"22","3","3642177"
"22","4","3519869"
"22","5","3554552"
"22","6","3579047"
"22","7","3499585"
"22","8","3691927"
"22","9","3471451"
"22","10","3357460"
"22","11","3317868"
"22","12","3416316"
"22","13","3441402"
"22","14","3405508"
"22","15","3263551"
"22","16","3423571"
"22","17","3802475"
"22","18","3352480"
"22","19","3882344"
"22","20","3065601"
"22","21","3458753"
"22","22","3385959"
"22","23","3749681"
"22","24","3272107"
"22","25","3311231"
"22","26","3511416"
"22","27","3400633"
"22","28","3215110"
"22","29","3629253"
"26","0","4009062"
"26","1","4037683"
"26","2","3881632"
"26","3","3990815"
"26","4","3958155"
"26","5","3536547"
"26","6","3748569"
"26","7","4251823"
"26","8","4314418"
"26","9","4004838"
"26","10","3919039"
"26","11","4332479"
"26","12","3917472"
"26","13","3769567"
"26","14","4067704"
"26","15","3922530"
"26","16","3570868"
"26","17","3916072"
"26","18","3984654"
"26","19","3923485"
"26","20","4033032"
"26","21","4240978"
"26","22","3436019"
"26","23","3663171"
