customers,run,profit
2,0,245217
2,1,313565
2,2,268183
2,3,200405
2,4,283701
2,5,331479
2,6,172843
2,7,269179
2,8,146774
2,9,263605
2,10,295493
2,11,339553
2,12,263890
2,13,209579
2,14,275818
2,15,244385
2,16,271756
2,17,248447
2,18,179571
2,19,174238
2,20,236048
2,21,276910
2,22,430231
2,23,319058
2,24,198915
2,25,202584
2,26,334395
2,27,193416
2,28,197493
2,29,269239
6,0,845739
6,1,818798
6,2,959721
6,3,923262
6,4,740756
6,5,1054210
6,6,965667
6,7,681663
6,8,869133
6,9,679576
6,10,753603
6,11,762220
6,12,883601
6,13,750539
6,14,790420
6,15,807821
6,16,789914
6,17,891832
6,18,777206
6,19,939434
6,20,866960
6,21,795964
6,22,923804
6,23,931163
6,24,856794
6,25,759318
6,26,775867
6,27,697581
6,28,1020976
6,29,760667
10,0,1529733
10,1,1505371
10,2,1696941
10,3,1536943
10,4,1628675
10,5,1463371
10,6,1539575
10,7,1430623
10,8,1521636
10,9,1344010
10,10,1462793
10,11,1583391
10,12,1659284
10,13,1414807
10,14,1395360
10,15,1457975
10,16,1383168
10,17,1502151
10,18,1384499
10,19,1421327
10,20,1424595
10,21,1358034
10,22,1480121
10,23,1585397
10,24,1436730
10,25,1434538
10,26,1644893
10,27,1449595
10,28,1712284
10,29,1255708
14,0,1924133
14,1,1965231
14,2,2081266
14,3,2172364
14,4,2179346
14,5,2036401
14,6,2119293
14,7,2384987
14,8,2208126
14,9,1912255
14,10,2367316
14,11,2005438
14,12,2026571
14,13,2298527
14,14,1941790
14,15,2281577
14,16,1950481
14,17,1813958
14,18,1998338
14,19,2333674
14,20,1869029
14,21,2301430
14,22,2064953
14,23,1945392
14,24,2023810
14,25,2238094
14,26,2209440
14,27,2224582
14,28,2027907
14,29,1910375
