"order_penalty","run","profit"
"0","0","338267"
"0","1","324812"
"0","2","338366"
"0","3","350164"
"0","4","360980"
"0","5","458180"
"0","6","490633"
"0","7","422555"
"0","8","412727"
"0","9","364730"
"0","10","411148"
"0","11","451898"
"0","12","311303"
"0","13","267704"
"0","14","281211"
"0","15","390008"
"0","16","274111"
"0","17","295784"
"0","18","386127"
"0","19","410715"
"0","20","415255"
"0","21","483696"
"0","22","427006"
"0","23","410014"
"0","24","364438"
"0","25","455109"
"0","26","449047"
"0","27","458409"
"0","28","353249"
"0","29","377110"
"10","0","331514"
"10","1","447478"
"10","2","445689"
"10","3","434921"
"10","4","466905"
"10","5","438569"
"10","6","393186"
"10","7","394823"
"10","8","420038"
"10","9","446995"
"10","10","450861"
"10","11","326185"
"10","12","442528"
"10","13","532201"
"10","14","370344"
"10","15","447365"
"10","16","364627"
"10","17","481781"
"10","18","360920"
"10","19","425251"
"10","20","456757"
"10","21","421889"
"10","22","380882"
"10","23","381313"
"10","24","446095"
"10","25","271705"
"10","26","483314"
"10","27","348993"
"10","28","316981"
"10","29","459481"
"20","0","317084"
"20","1","367101"
"20","2","562655"
"20","3","421746"
"20","4","451860"
"20","5","368774"
"20","6","389497"
"20","7","317487"
"20","8","507308"
"20","9","338528"
"20","10","353232"
"20","11","448407"
"20","12","389008"
"20","13","454822"
"20","14","540732"
"20","15","481730"
"20","16","464150"
"20","17","319674"
"20","18","349305"
"20","19","418034"
"20","20","362353"
"20","21","389703"
"20","22","390620"
"20","23","460890"
"20","24","475469"
"20","25","299301"
"20","26","412088"
"20","27","262853"
"20","28","344246"
"20","29","473112"
"30","0","406677"
"30","1","356272"
"30","2","392987"
"30","3","477186"
"30","4","313215"
"30","5","314551"
"30","6","378475"
"30","7","443920"
"30","8","368000"
"30","9","323491"
"30","10","358154"
"30","11","374027"
"30","12","385612"
"30","13","389416"
"30","14","442504"
"30","15","502206"
"30","16","373972"
"30","17","443498"
"30","18","322195"
"30","19","485150"
"30","20","550871"
"30","21","383811"
"30","22","308621"
"30","23","378198"
"30","24","472309"
"30","25","347232"
"30","26","428417"
"30","27","389329"
"30","28","409570"
"30","29","349206"
"40","0","412965"
"40","1","303558"
"40","2","244776"
"40","3","476520"
"40","4","409719"
"40","5","476907"
"40","6","428433"
"40","7","475372"
"40","8","336234"
"40","9","447920"
"40","10","407400"
"40","11","355657"
"40","12","446517"
"40","13","341060"
"40","14","382639"
"40","15","568528"
"40","16","390508"
"40","17","292842"
"40","18","371490"
"40","19","386934"
"40","20","493746"
"40","21","241730"
"40","22","418347"
"40","23","464281"
"40","24","498600"
"40","25","387292"
"40","26","412809"
"40","27","345566"
"40","28","371883"
"40","29","229463"
"50","0","343840"
"50","1","435930"
"50","2","425811"
"50","3","405299"
"50","4","361109"
"50","5","334162"
"50","6","465114"
"50","7","468216"
"50","8","378917"
"50","9","409963"
"50","10","404358"
"50","11","337303"
"50","12","468800"
"50","13","460733"
"50","14","351602"
"50","15","544159"
"50","16","487292"
"50","17","464024"
"50","18","490083"
"50","19","305839"
"50","20","355445"
"50","21","420987"
"50","22","410404"
"50","23","475524"
"50","24","487629"
"50","25","329340"
"50","26","403173"
"50","27","333173"
"50","28","488496"
"50","29","372601"
"60","0","456853"
"60","1","446313"
"60","2","287592"
"60","3","390282"
"60","4","349581"
"60","5","459258"
"60","6","314608"
"60","7","300925"
"60","8","333739"
"60","9","339508"
"60","10","430655"
"60","11","383420"
"60","12","364948"
"60","13","349953"
"60","14","488907"
"60","15","425139"
"60","16","438938"
"60","17","450435"
"60","18","401443"
"60","19","243432"
"60","20","419670"
"60","21","394611"
"60","22","438762"
"60","23","363966"
"60","24","424023"
"60","25","305163"
"60","26","467460"
"60","27","492850"
"60","28","327210"
"60","29","354999"
"70","0","417380"
"70","1","357107"
"70","2","454536"
"70","3","324612"
"70","4","307945"
"70","5","397753"
"70","6","367246"
"70","7","427893"
"70","8","377459"
"70","9","280085"
"70","10","469725"
"70","11","337030"
"70","12","486952"
"70","13","280847"
"70","14","391733"
"70","15","386042"
"70","16","492854"
"70","17","346327"
"70","18","493414"
"70","19","427202"
"70","20","388711"
"70","21","416628"
"70","22","307778"
"70","23","263971"
"70","24","468855"
"70","25","358908"
"70","26","351466"
"70","27","418433"
"70","28","437309"
"70","29","259679"
"80","0","419670"
"80","1","425882"
"80","2","430393"
"80","3","378261"
"80","4","413231"
"80","5","296964"
"80","6","400273"
"80","7","359682"
"80","8","430768"
"80","9","436151"
"80","10","395613"
"80","11","311321"
"80","12","489731"
"80","13","369882"
"80","14","320634"
"80","15","353585"
"80","16","612430"
"80","17","362197"
"80","18","489384"
"80","19","439058"
"80","20","447220"
"80","21","426021"
"80","22","453313"
"80","23","510642"
"80","24","467747"
"80","25","459694"
"80","26","483575"
"80","27","365364"
"80","28","414555"
"80","29","463924"
"90","0","516769"
"90","1","320018"
"90","2","240692"
"90","3","506297"
"90","4","512331"
"90","5","423263"
"90","6","403173"
"90","7","425373"
"90","8","357418"
"90","9","298477"
"90","10","374587"
"90","11","360563"
"90","12","478510"
"90","13","409128"
"90","14","481021"
"90","15","464513"
"90","16","386996"
"90","17","428593"
"90","18","370536"
"90","19","378306"
"90","20","285844"
"90","21","351679"
"90","22","441901"
"90","23","485248"
"90","24","404979"
"90","25","319817"
"90","26","485841"
"90","27","278436"
"90","28","298208"
"90","29","476170"
"100","0","296934"
"100","1","471496"
"100","2","366352"
"100","3","411610"
"100","4","294397"
"100","5","384036"
"100","6","346246"
"100","7","383759"
"100","8","324331"
"100","9","354926"
"100","10","457861"
"100","11","338812"
"100","12","440749"
"100","13","439302"
"100","14","388694"
"100","15","458596"
"100","16","419506"
"100","17","395052"
"100","18","504166"
"100","19","374503"
"100","20","436703"
"100","21","454789"
"100","22","483358"
"100","23","420086"
"100","24","365871"
"100","25","392720"
"100","26","314899"
"100","27","304628"
"100","28","335550"
"100","29","334479"
"110","0","345768"
"110","1","440503"
"110","2","386626"
"110","3","345661"
"110","4","492155"
"110","5","313718"
"110","6","376218"
"110","7","345852"
"110","8","524244"
"110","9","312912"
"110","10","523206"
"110","11","358344"
"110","12","475730"
"110","13","336662"
"110","14","335116"
"110","15","367396"
"110","16","277462"
"110","17","536078"
"110","18","540681"
"110","19","360039"
"110","20","344508"
"110","21","413057"
"110","22","366044"
"110","23","500061"
"110","24","365409"
"110","25","451806"
"110","26","391850"
"110","27","378366"
"110","28","239842"
"110","29","405715"
"120","0","358252"
"120","1","442251"
"120","2","504761"
"120","3","317655"
"120","4","355349"
"120","5","417230"
"120","6","426548"
"120","7","348793"
"120","8","346182"
"120","9","389169"
"120","10","456201"
"120","11","421461"
"120","12","436608"
"120","13","349773"
"120","14","423980"
"120","15","436721"
"120","16","395498"
"120","17","411866"
"120","18","413108"
"120","19","299533"
"120","20","386961"
"120","21","342112"
"120","22","457062"
"120","23","445764"
"120","24","378258"
"120","25","312970"
"120","26","396283"
"120","27","402445"
"120","28","323023"
"120","29","373597"
"130","0","366544"
"130","1","439053"
"130","2","336851"
"130","3","403251"
"130","4","400066"
"130","5","491890"
"130","6","328044"
"130","7","417115"
"130","8","390455"
"130","9","431108"
"130","10","424406"
"130","11","341510"
"130","12","381050"
"130","13","338110"
"130","14","274998"
"130","15","410516"
"130","16","414209"
"130","17","272403"
"130","18","425960"
"130","19","398166"
"130","20","325861"
"130","21","454149"
"130","22","516251"
"130","23","393889"
"130","24","346562"
"130","25","417436"
"130","26","373288"
"130","27","503840"
"130","28","355220"
"130","29","322804"
"140","0","429456"
"140","1","321849"
"140","2","426340"
"140","3","477801"
