"order_penalty","run","profit"
"0","0","660683"
"0","1","516577"
"0","2","726524"
"0","3","659590"
"0","4","664689"
"0","5","632437"
"0","6","701532"
"0","7","612606"
"0","8","688136"
"0","9","672080"
"0","10","594270"
"0","11","590134"
"0","12","710392"
"0","13","637016"
"0","14","605199"
"0","15","639496"
"0","16","714470"
"0","17","568893"
"0","18","674291"
"0","19","575473"
"0","20","697039"
"0","21","588267"
"0","22","629417"
"0","23","513836"
"0","24","592252"
"0","25","644285"
"0","26","672971"
"0","27","665811"
"0","28","544579"
"0","29","611475"
"10","0","543619"
"10","1","573205"
"10","2","569584"
"10","3","640468"
"10","4","635729"
"10","5","691786"
"10","6","698560"
"10","7","733431"
"10","8","701609"
"10","9","635341"
"10","10","557557"
"10","11","583879"
"10","12","604554"
"10","13","648844"
"10","14","614811"
"10","15","632874"
"10","16","666901"
"10","17","547464"
"10","18","642048"
"10","19","564425"
"10","20","583577"
"10","21","676170"
"10","22","581124"
"10","23","630617"
"10","24","581874"
"10","25","606732"
"10","26","675362"
"10","27","646117"
"10","28","658324"
"10","29","690160"
"20","0","611955"
"20","1","619139"
"20","2","620843"
"20","3","715288"
"20","4","580583"
"20","5","697096"
"20","6","629589"
"20","7","624600"
"20","8","701628"
"20","9","610596"
"20","10","515993"
"20","11","706516"
"20","12","631211"
"20","13","527056"
"20","14","619938"
"20","15","515405"
"20","16","679138"
"20","17","583607"
"20","18","646066"
"20","19","612165"
"20","20","693130"
"20","21","514566"
"20","22","607283"
"20","23","578980"
"20","24","722467"
"20","25","728974"
"20","26","748861"
"20","27","679638"
"20","28","555143"
"20","29","717930"
"30","0","582848"
"30","1","675505"
"30","2","608276"
"30","3","572354"
"30","4","715330"
"30","5","513303"
"30","6","650604"
"30","7","718132"
"30","8","582061"
"30","9","623086"
"30","10","585792"
"30","11","723742"
"30","12","563559"
"30","13","665843"
"30","14","675863"
"30","15","634549"
"30","16","577299"
"30","17","694844"
"30","18","718728"
"30","19","692330"
"30","20","737875"
"30","21","698576"
"30","22","603714"
"30","23","624649"
"30","24","596820"
"30","25","620952"
"30","26","668140"
"30","27","673334"
"30","28","739017"
"30","29","569434"
"40","0","606073"
"40","1","726628"
"40","2","555192"
"40","3","650517"
"40","4","571317"
"40","5","602857"
"40","6","584667"
"40","7","607208"
"40","8","523008"
"40","9","693429"
"40","10","577399"
"40","11","515362"
"40","12","581450"
"40","13","605249"
"40","14","648642"
"40","15","686328"
"40","16","579434"
"40","17","676595"
"40","18","677727"
"40","19","685941"
"40","20","624893"
"40","21","556523"
"40","22","747857"
"40","23","619817"
"40","24","589901"
"40","25","724851"
"40","26","627402"
"40","27","535625"
"40","28","690480"
"40","29","646862"
"50","0","658037"
"50","1","648926"
"50","2","565076"
"50","3","710279"
"50","4","610099"
"50","5","542224"
"50","6","583160"
"50","7","657369"
"50","8","578527"
"50","9","737039"
"50","10","626986"
"50","11","718308"
"50","12","580525"
"50","13","708797"
"50","14","612241"
"50","15","608498"
"50","16","530106"
"50","17","636537"
"50","18","657412"
"50","19","533031"
"50","20","584431"
"50","21","699702"
"50","22","655998"
"50","23","657589"
"50","24","607541"
"50","25","613907"
"50","26","613646"
"50","27","604577"
"50","28","589951"
"50","29","704672"
"60","0","580904"
"60","1","612621"
"60","2","584450"
"60","3","547333"
"60","4","572123"
"60","5","651076"
"60","6","625403"
"60","7","735508"
"60","8","616701"
"60","9","594378"
"60","10","619858"
"60","11","610171"
"60","12","680517"
"60","13","594694"
"60","14","567455"
"60","15","691988"
"60","16","787954"
"60","17","588693"
"60","18","631479"
"60","19","713280"
"60","20","588356"
"60","21","587787"
"60","22","675383"
"60","23","661942"
"60","24","658764"
"60","25","698573"
"60","26","643675"
"60","27","677403"
"60","28","657582"
"60","29","593859"
"70","0","618291"
"70","1","619590"
"70","2","640870"
"70","3","580860"
"70","4","507681"
"70","5","533208"
"70","6","632878"
"70","7","731254"
"70","8","558412"
"70","9","628185"
"70","10","674419"
"70","11","723707"
"70","12","711898"
"70","13","532216"
"70","14","586111"
"70","15","561719"
"70","16","652209"
"70","17","644402"
"70","18","583743"
"70","19","694359"
"70","20","599889"
"70","21","530064"
"70","22","632708"
"70","23","625046"
"70","24","629682"
"70","25","501735"
"70","26","651815"
"70","27","605255"
"70","28","683096"
"70","29","685055"
"80","0","571968"
"80","1","565272"
"80","2","648684"
"80","3","567913"
"80","4","634066"
"80","5","637113"
"80","6","619732"
"80","7","544179"
"80","8","575221"
"80","9","537700"
"80","10","596840"
"80","11","577637"
"80","12","713371"
"80","13","616853"
"80","14","627928"
"80","15","550026"
"80","16","610838"
"80","17","749214"
"80","18","739834"
"80","19","727291"
"80","20","596244"
"80","21","662576"
"80","22","669230"
"80","23","541240"
"80","24","579152"
"80","25","647103"
"80","26","729742"
"80","27","758570"
"80","28","639340"
"80","29","653500"
"90","0","630533"
"90","1","686418"
"90","2","624109"
"90","3","552021"
"90","4","652445"
"90","5","583936"
"90","6","635931"
"90","7","584245"
"90","8","698177"
"90","9","657652"
"90","10","603842"
"90","11","437247"
"90","12","559489"
"90","13","503357"
"90","14","681848"
"90","15","639069"
"90","16","627668"
"90","17","660575"
"90","18","655118"
"90","19","672342"
"90","20","661722"
"90","21","640459"
"90","22","653243"
"90","23","610643"
"90","24","700128"
"90","25","657899"
"90","26","591824"
"90","27","676837"
"90","28","608004"
"90","29","600653"
"100","0","624440"
"100","1","561562"
"100","2","653351"
"100","3","555042"
"100","4","636335"
"100","5","577519"
"100","6","568151"
"100","7","763689"
"100","8","613009"
"100","9","645758"
"100","10","537817"
"100","11","612406"
"100","12","620645"
"100","13","521120"
"100","14","577828"
"100","15","626490"
"100","16","613454"
"100","17","573607"
"100","18","670658"
"100","19","493967"
"100","20","591414"
"100","21","583490"
"100","22","595212"
"100","23","553880"
"100","24","577718"
"100","25","567829"
"100","26","572959"
"100","27","554807"
"100","28","652307"
"100","29","613993"
"110","0","584584"
"110","1","652685"
"110","2","602972"
"110","3","723096"
"110","4","653720"
"110","5","620015"
"110","6","528633"
"110","7","729074"
"110","8","622041"
"110","9","646034"
"110","10","551712"
"110","11","568006"
"110","12","689893"
"110","13","599039"
"110","14","651849"
"110","15","639563"
"110","16","590180"
"110","17","666598"
"110","18","684301"
"110","19","641992"
"110","20","638730"
"110","21","632267"
"110","22","577184"
"110","23","621998"
"110","24","642826"
"110","25","697200"
"110","26","666143"
"110","27","682456"
"110","28","612766"
"110","29","606572"
"120","0","629622"
"120","1","630561"
"120","2","631528"
"120","3","671683"
"120","4","620259"
"120","5","669255"
"120","6","636861"
"120","7","597024"
"120","8","635711"
"120","9","610143"
"120","10","619246"
"120","11","596246"
"120","12","611756"
"120","13","680277"
"120","14","715365"
"120","15","705766"
"120","16","608077"
"120","17","613424"
"120","18","615250"
"120","19","648420"
"120","20","625250"
"120","21","616123"
"120","22","610099"
"120","23","612587"
"120","24","692693"
"120","25","594430"
"120","26","594911"
"120","27","638064"
"120","28","700575"
"120","29","644185"
"130","0","658781"
"130","1","713081"
"130","2","677103"
"130","3","641165"
"130","4","712411"
"130","5","725973"
"130","6","622013"
"130","7","616365"
"130","8","663921"
"130","9","579166"
"130","10","581722"
"130","11","508287"
"130","12","573746"
"130","13","643882"
"130","14","624292"
"130","15","619045"
"130","16","624752"
"130","17","723458"
"130","18","690607"
"130","19","608415"
"130","20","689374"
"130","21","586863"
"130","22","617150"
"130","23","590086"
"130","24","655486"
"130","25","616729"
"130","26","635395"
"130","27","612376"
"130","28","627106"
"130","29","571070"
"140","0","687137"
"140","1","677625"
"140","2","733624"
"140","3","668301"
"140","4","599341"
"140","5","543806"
"140","6","729775"
"140","7","680690"
"140","8","684452"
"140","9","725236"
"140","10","644794"
"140","11","695965"
"140","12","557464"
"140","13","661992"
"140","14","554054"
"140","15","600058"
"140","16","666372"
"140","17","526626"
"140","18","556638"
"140","19","628147"
"140","20","617979"
"140","21","554425"
"140","22","583578"
"140","23","676826"
"140","24","658559"
"140","25","660509"
"140","26","574615"
"140","27","634095"
"140","28","568214"
"140","29","582200"
"150","0","531818"
"150","1","618056"
"150","2","619138"
"150","3","654837"
"150","4","623571"
"150","5","702411"
"150","6","643584"
"150","7","699176"
"150","8","608322"
