"warehouse_cost","run","profit"
"0","0","489787"
"0","1","367285"
"0","2","506331"
"0","3","534545"
"0","4","314476"
"0","5","376675"
"0","6","434125"
"0","7","335843"
"0","8","379698"
"0","9","462440"
"0","10","309147"
"0","11","353921"
"0","12","484350"
"0","13","258200"
"0","14","375843"
"0","15","485820"
"0","16","376598"
"0","17","434499"
"0","18","405554"
"0","19","477043"
"0","20","216156"
"0","21","377668"
"0","22","472934"
"0","23","473562"
"0","24","419037"
"0","25","428398"
"0","26","500411"
"0","27","532753"
"0","28","378783"
"0","29","400765"
"5","0","325083"
"5","1","341362"
"5","2","484146"
"5","3","498126"
"5","4","390690"
"5","5","414874"
"5","6","405654"
"5","7","316944"
"5","8","462636"
"5","9","347007"
"5","10","381736"
"5","11","376176"
"5","12","272978"
"5","13","309346"
"5","14","508616"
"5","15","461934"
"5","16","536257"
"5","17","431297"
"5","18","339987"
"5","19","381333"
"5","20","420754"
"5","21","516037"
"5","22","442250"
"5","23","390245"
"5","24","359868"
"5","25","397583"
"5","26","421997"
"5","27","479348"
"5","28","464608"
"5","29","362138"
"10","0","467764"
"10","1","399476"
"10","2","518345"
"10","3","372954"
"10","4","396131"
"10","5","506077"
"10","6","359680"
"10","7","503880"
"10","8","362232"
"10","9","436616"
"10","10","349731"
"10","11","316698"
"10","12","558053"
"10","13","273042"
"10","14","421567"
"10","15","553000"
"10","16","504439"
"10","17","530852"
"10","18","264563"
"10","19","372122"
"10","20","358113"
"10","21","414947"
"10","22","239378"
"10","23","464219"
"10","24","563183"
"10","25","390235"
"10","26","367084"
"10","27","328345"
"10","28","346733"
"10","29","422248"
"15","0","387279"
"15","1","426856"
"15","2","262501"
"15","3","378575"
"15","4","421868"
"15","5","431831"
"15","6","434338"
"15","7","388524"
"15","8","277694"
"15","9","366568"
"15","10","495691"
"15","11","429889"
"15","12","475056"
"15","13","526767"
"15","14","373714"
"15","15","428111"
"15","16","368234"
"15","17","412169"
"15","18","448855"
"15","19","478695"
"15","20","320719"
"15","21","326503"
"15","22","444187"
"15","23","450693"
"15","24","353323"
"15","25","416843"
"15","26","266156"
"15","27","402405"
"15","28","366145"
"15","29","392035"
"20","0","364503"
"20","1","396730"
"20","2","476971"
"20","3","354991"
"20","4","341966"
"20","5","397185"
"20","6","287638"
"20","7","344441"
"20","8","364669"
"20","9","390244"
"20","10","356998"
"20","11","367298"
"20","12","386785"
"20","13","364104"
"20","14","375726"
"20","15","189711"
"20","16","433218"
"20","17","337576"
"20","18","220374"
"20","19","402326"
"20","20","311808"
"20","21","370654"
"20","22","544188"
"20","23","489252"
"20","24","338403"
"20","25","349712"
"20","26","438450"
"20","27","465263"
"20","28","459965"
"20","29","465236"
"25","0","427661"
"25","1","459130"
"25","2","349317"
"25","3","357652"
"25","4","424963"
"25","5","424448"
"25","6","285327"
"25","7","412441"
"25","8","394186"
"25","9","385441"
"25","10","411055"
"25","11","391041"
"25","12","453069"
"25","13","504561"
"25","14","268829"
"25","15","382939"
"25","16","457260"
"25","17","470601"
"25","18","425511"
"25","19","344820"
"25","20","348017"
"25","21","269928"
"25","22","489127"
"25","23","354601"
"25","24","351894"
"25","25","369786"
"25","26","291563"
"25","27","308388"
"25","28","360290"
"25","29","371394"
"30","0","466136"
"30","1","483515"
"30","2","468719"
"30","3","347588"
"30","4","308445"
"30","5","331785"
"30","6","346669"
"30","7","467833"
"30","8","280677"
"30","9","396772"
"30","10","399550"
"30","11","392954"
"30","12","374865"
"30","13","343579"
"30","14","455653"
"30","15","419529"
"30","16","383840"
"30","17","491956"
"30","18","381633"
"30","19","329510"
"30","20","388769"
"30","21","406768"
"30","22","376449"
"30","23","483327"
"30","24","374471"
"30","25","355718"
"30","26","553024"
"30","27","385728"
"30","28","398715"
"30","29","423456"
"35","0","277407"
"35","1","326223"
"35","2","484907"
"35","3","555055"
"35","4","292424"
"35","5","427511"
"35","6","316301"
"35","7","339164"
"35","8","518180"
"35","9","393037"
"35","10","326871"
"35","11","494289"
"35","12","346932"
"35","13","374357"
"35","14","403630"
"35","15","354623"
"35","16","527121"
"35","17","490627"
"35","18","411274"
"35","19","334236"
"35","20","452912"
"35","21","431298"
"35","22","385659"
"35","23","412735"
"35","24","403320"
"35","25","348229"
"35","26","423668"
"35","27","520500"
"35","28","436678"
"35","29","373318"
"40","0","386471"
"40","1","476694"
"40","2","420314"
"40","3","357377"
"40","4","469092"
"40","5","538551"
"40","6","355234"
"40","7","360698"
"40","8","534697"
"40","9","373750"
"40","10","456866"
"40","11","368328"
"40","12","415897"
"40","13","402458"
"40","14","403051"
"40","15","369907"
"40","16","303978"
"40","17","479071"
"40","18","465607"
"40","19","447562"
"40","20","358328"
"40","21","378000"
"40","22","375681"
"40","23","419895"
"40","24","361333"
"40","25","291811"
"40","26","415941"
"40","27","326825"
"40","28","306544"
"40","29","400981"
"45","0","473473"
"45","1","536512"
"45","2","304564"
"45","3","461396"
"45","4","333352"
"45","5","340895"
"45","6","477691"
"45","7","457663"
"45","8","412574"
"45","9","393775"
"45","10","380616"
"45","11","432174"
"45","12","428768"
"45","13","439294"
"45","14","342732"
"45","15","337997"
"45","16","478306"
"45","17","424918"
"45","18","368957"
"45","19","409771"
"45","20","456409"
"45","21","388925"
"45","22","300563"
"45","23","276261"
"45","24","391203"
"45","25","303418"
"45","26","443035"
"45","27","444302"
"45","28","347815"
"45","29","401368"
"50","0","476325"
"50","1","417839"
"50","2","295554"
"50","3","386211"
"50","4","437223"
"50","5","428816"
"50","6","354720"
"50","7","313118"
"50","8","460869"
"50","9","328006"
"50","10","286373"
"50","11","410467"
"50","12","328417"
"50","13","504063"
"50","14","429190"
"50","15","436046"
"50","16","429950"
"50","17","412303"
"50","18","312988"
"50","19","475658"
"50","20","395040"
"50","21","431042"
"50","22","414365"
"50","23","358564"
"50","24","423979"
"50","25","400538"
"50","26","365334"
"50","27","393290"
"50","28","408043"
"50","29","311418"
"55","0","404837"
"55","1","484376"
"55","2","432332"
"55","3","262009"
"55","4","393022"
"55","5","365076"
"55","6","307946"
"55","7","339099"
"55","8","335143"
"55","9","352094"
"55","10","385934"
"55","11","388641"
"55","12","420657"
"55","13","354811"
"55","14","457272"
"55","15","359923"
"55","16","303010"
"55","17","388588"
"55","18","418683"
"55","19","445080"
"55","20","312919"
"55","21","365690"
"55","22","463337"
"55","23","248280"
"55","24","469335"
"55","25","463012"
"55","26","441023"
"55","27","385160"
"55","28","330389"
"55","29","311898"
"60","0","465823"
"60","1","342997"
"60","2","287871"
"60","3","337284"
"60","4","429597"
"60","5","259908"
"60","6","403069"
"60","7","374545"
"60","8","442184"
"60","9","421606"
"60","10","353451"
"60","11","416566"
"60","12","338236"
"60","13","413264"
"60","14","277076"
"60","15","541745"
"60","16","356314"
"60","17","355006"
"60","18","556886"
"60","19","391389"
"60","20","387193"
"60","21","543095"
"60","22","431406"
"60","23","391447"
"60","24","434691"
"60","25","487139"
"60","26","318317"
"60","27","380104"
"60","28","259319"
"60","29","441588"
"65","0","354435"
"65","1","414577"
"65","2","232158"
"65","3","425736"
"65","4","367517"
"65","5","358209"
"65","6","292431"
"65","7","435798"
"65","8","529782"
"65","9","376601"
"65","10","482472"
"65","11","437491"
"65","12","177057"
"65","13","353821"
"65","14","350764"
"65","15","404061"
"65","16","388824"
"65","17","371569"
"65","18","434172"
"65","19","389956"
"65","20","416853"
"65","21","451766"
"65","22","288259"
"65","23","428419"
"65","24","426622"
"65","25","432656"
"65","26","378088"
"65","27","400106"
"65","28","375123"
"65","29","359691"
"70","0","489944"
"70","1","315425"
"70","2","433141"
"70","3","335207"
"70","4","356179"
"70","5","385344"
"70","6","305446"
"70","7","458112"
"70","8","184125"
"70","9","287410"
"70","10","300013"
"70","11","392041"
"70","12","472553"
"70","13","415932"
"70","14","186807"
"70","15","401088"
"70","16","258479"
"70","17","396224"
"70","18","339710"
"70","19","330465"
"70","20","274862"
"70","21","335735"
"70","22","274803"
"70","23","488377"
"70","24","340345"
"70","25","431834"
"70","26","519477"
"70","27","483299"
"70","28","410728"
"70","29","398207"
"75","0","476318"
"75","1","461155"
"75","2","445408"
"75","3","374597"
"75","4","432615"
"75","5","389438"
"75","6","476443"
"75","7","541714"
"75","8","512346"
"75","9","405362"
"75","10","357591"
"75","11","480875"
"75","12","233784"
"75","13","355348"
"75","14","461900"
"75","15","423752"
"75","16","368567"
"75","17","388200"
"75","18","267373"
"75","19","389220"
"75","20","244082"
"75","21","527028"
"75","22","314795"
"75","23","321332"
"75","24","380274"
"75","25","456363"
"75","26","449870"
"75","27","501277"
"75","28","386050"
"75","29","555949"
"80","0","405828"
"80","1","508041"
"80","2","481695"
"80","3","426920"
"80","4","245417"
"80","5","319930"
"80","6","375020"
"80","7","464253"
"80","8","499896"
"80","9","366581"
"80","10","464901"
"80","11","357583"
"80","12","376580"
"80","13","405265"
"80","14","281955"
"80","15","355536"
"80","16","336373"
"80","17","391928"
"80","18","354824"
"80","19","386180"
"80","20","313847"
"80","21","330656"
"80","22","496316"
"80","23","342007"
"80","24","422679"
"80","25","449339"
"80","26","343946"
"80","27","369835"
"80","28","475988"
"80","29","380869"
"85","0","305251"
"85","1","350105"
"85","2","303419"
"85","3","318982"
"85","4","460823"
"85","5","523633"
"85","6","397444"
"85","7","375812"
"85","8","278926"
"85","9","276384"
"85","10","383870"
"85","11","440480"
"85","12","303073"
"85","13","244751"
"85","14","322247"
"85","15","337399"
"85","16","328738"
"85","17","419043"
"85","18","351176"
"85","19","453982"
"85","20","506799"
"85","21","471136"
"85","22","510289"
"85","23","444729"
"85","24","411861"
"85","25","452416"
"85","26","514785"
"85","27","326546"
"85","28","342832"
"85","29","414309"
"90","0","390200"
"90","1","574522"
"90","2","326842"
"90","3","384062"
"90","4","424009"
"90","5","430928"
"90","6","375925"
"90","7","464664"
"90","8","408854"
"90","9","394082"
"90","10","404035"
"90","11","339378"
"90","12","355320"
"90","13","352551"
"90","14","442623"
"90","15","438500"
"90","16","453149"
"90","17","386273"
"90","18","453493"
"90","19","344771"
"90","20","450055"
"90","21","297550"
"90","22","347383"
"90","23","325764"
"90","24","321695"
"90","25","515742"
"90","26","415358"
"90","27","406766"
"90","28","321109"
"90","29","355471"
"95","0","437761"
"95","1","395108"
"95","2","339280"
"95","3","325623"
"95","4","374583"
"95","5","345928"
"95","6","381531"
"95","7","386128"
"95","8","450111"
"95","9","481080"
"95","10","565553"
"95","11","413002"
"95","12","472650"
"95","13","345867"
"95","14","350462"
"95","15","395262"
"95","16","407899"
"95","17","306207"
"95","18","357591"
"95","19","407444"
"95","20","279964"
"95","21","483426"
"95","22","352249"
"95","23","396938"
"95","24","221381"
"95","25","292973"
"95","26","505089"
"95","27","312617"
"95","28","289053"
"95","29","419341"
"100","0","563633"
"100","1","462278"
"100","2","360735"
"100","3","503593"
"100","4","431465"
"100","5","409833"
"100","6","466398"
"100","7","484121"
"100","8","458507"
"100","9","420966"
"100","10","469334"
"100","11","402316"
"100","12","426903"
"100","13","440248"
"100","14","350976"
"100","15","583123"
"100","16","293373"
"100","17","456228"
"100","18","351396"
"100","19","355645"
"100","20","537564"
"100","21","495106"
"100","22","421360"
"100","23","301351"
"100","24","518034"
"100","25","447193"
"100","26","437237"
"100","27","367406"
"100","28","495821"
"100","29","398878"
